time	flux	fluxerr	band	zpsys	redshift
639.89	15.868	0.006	cspb	csp	0.0149
641.88	15.568	0.005	cspb	csp	0.0149
644.88	15.318	0.005	cspb	csp	0.0149
655.84	15.777	0.006	cspb	csp	0.0149
659.79	16.247	0.006	cspb	csp	0.0149
663.82	16.787	0.01	cspb	csp	0.0149
665.83	17.044	0.008	cspb	csp	0.0149
666.8	17.143	0.009	cspb	csp	0.0149
669.82	17.522	0.008	cspb	csp	0.0149
671.83	17.716	0.008	cspb	csp	0.0149
673.82	17.86	0.009	cspb	csp	0.0149
675.84	17.989	0.011	cspb	csp	0.0149
682.83	18.312	0.02	cspb	csp	0.0149
683.81	18.346	0.011	cspb	csp	0.0149
687.78	18.44	0.023	cspb	csp	0.0149
689.81	18.489	0.031	cspb	csp	0.0149
690.83	18.599	0.043	cspb	csp	0.0149
694.83	18.611	0.026	cspb	csp	0.0149
698.77	18.659	0.021	cspb	csp	0.0149
699.76	18.69	0.017	cspb	csp	0.0149
702.76	18.8	0.017	cspb	csp	0.0149
712.74	18.918	0.02	cspb	csp	0.0149
721.71	19.054	0.054	cspb	csp	0.0149
730.75	19.199	0.025	cspb	csp	0.0149
