time	flux	fluxerr	band	zpsys	redshift
662.72	17.513	0.013	cspb	csp	0.0459
663.69	17.476	0.009	cspb	csp	0.0459
665.66	17.413	0.007	cspb	csp	0.0459
666.72	17.398	0.007	cspb	csp	0.0459
669.65	17.442	0.006	cspb	csp	0.0459
671.74	17.514	0.007	cspb	csp	0.0459
673.72	17.624	0.008	cspb	csp	0.0459
675.7	17.736	0.008	cspb	csp	0.0459
682.75	18.382	0.045	cspb	csp	0.0459
684.7	18.555	0.011	cspb	csp	0.0459
687.71	18.873	0.02	cspb	csp	0.0459
690.73	19.141	0.041	cspb	csp	0.0459
695.75	19.583	0.03	cspb	csp	0.0459
699.65	19.91	0.021	cspb	csp	0.0459
703.69	20.193	0.027	cspb	csp	0.0459
713.55	20.459	0.047	cspb	csp	0.0459
722.63	20.675	0.062	cspb	csp	0.0459
726.63	20.706	0.04	cspb	csp	0.0459
730.66	20.759	0.043	cspb	csp	0.0459
737.59	20.896	0.037	cspb	csp	0.0459
739.63	20.876	0.045	cspb	csp	0.0459
740.61	20.968	0.054	cspb	csp	0.0459
755.61	21.066	0.105	cspb	csp	0.0459
